pension_growth,net_spending,isa_growth,recommended_age,earliest_successful_age,latest_successful_age
0.03,34000,0.03,67,55,75
0.03,34000,0.04,67,55,75
0.03,34000,0.05,56,55,75
0.03,35000,0.03,67,55,75
0.03,35000,0.04,67,55,75
0.03,35000,0.05,56,55,75
0.03,36000,0.03,67,55,75
0.03,36000,0.04,67,55,75
0.03,36000,0.05,56,55,75
0.04,34000,0.03,58,55,75
0.04,34000,0.04,56,55,75
0.04,34000,0.05,56,55,75
0.04,35000,0.03,58,55,75
0.04,35000,0.04,56,55,75
0.04,35000,0.05,56,55,75
0.04,36000,0.03,58,55,75
0.04,36000,0.04,56,55,75
0.04,36000,0.05,56,55,75
0.05,34000,0.03,56,55,75
0.05,34000,0.04,56,55,75
0.05,34000,0.05,56,55,75
0.05,35000,0.03,56,55,75
0.05,35000,0.04,56,55,75
0.05,35000,0.05,56,55,75
0.05,36000,0.03,56,55,75
0.05,36000,0.04,56,55,75
0.05,36000,0.05,56,55,75
